Population	Cytoplasm (0ul IFN)	Surface (0ul IFN)	Cytoplasm (1ul IFN)	Surface (1ul IFN)
All Events	5100	879	697	2878
P1	6011	833	846	3152
P2	60	216	46	348
P3	162	283	162	2477
P4	572	486	569	9188
P5	1842	1156	1826	18858
P6	5821	2140	5721	30596
P7	18653	3522	17624	37367
P8	55449	4693	45082	55386
P9	133471	5778	141561	64243
P10	69	249	58	431
P11	166	534	174	2180
P12	535	1000	549	5412
P13	1733	1413	1706	12960
P14	5828	3240	5871	28383
P15	18753	4334	17411	44355
P16	53820	6773	34705	27953
P17	135595	7580		
P18	61	516	48	378
P19	181	613	194	2119
P20	564	406	599	4971
P21	1675	869	1699	11044
P22	5148	1946	5229	22451
P23	16909	3243	17601	31529
P24	54346	6426	51261	33256
P25	130010	10933		
P26	59	204	45	326
P27	183	245	197	1654
P28	607	713	638	4944
P29	1783	701	1763	11236
P30	5246	1697	5605	20871
P31	17351	2546	14378	36398
P32	53149	4889	45957	48479
P33	139512	8059	117952	86428
P34	60	188	41	257
P35	174	222	193	972
P36	637	329	670	3799
P37	1923	537	1984	9185
P38	5723	912	5619	17603
P39	16962	1886	17043	31362
P40	50621	3612	37244	43447
P41	128904	4401	117952	86428
P42	53	187	39	272
P43	175	231	160	743
P44	657	255	613	2158
P45	1960	268	2128	6634
P46	6485	472	6291	13024
P47	18161	931	17594	25720
P48	48753	2057	43140	46274
P49	131575	2777		
P50	40	169	32	257
P51	178	189	167	397
P52	602	209	726	1519
P53	2017	213	1775	3551
P54	6241	289	7185	9459
P55	18950	553	19473	22755
P56	52660	907	44735	32193
P57	135524	1213		
P58	9	206	-20	428
P59	211	153	109	199
P60	600	171		
P61	1717	155		
P62	5826	223	4484	879
P63	18521	279	15306	5628
P64	59698	535		
P65	137030	432		
P66	6342	626	2767	7891
P67	15643	1804	4070	13673
