Population	Cyt (0ul IFN)	Surf (0ul IFN)	Cyt (1ul IFN)	Surf (1ul IFN)	Cyt (2ul IFN)	Surf (2ul IFN)
All Events	4636	1060		2959	498	2852
P1	5484	1121	623	3130	577	2976
P2	55	197	45	385	45	400
P3	152	308	167	2982	163	2756
P4	577	1059	566	10256	558	9468
P5	1810	2890	1731	20532	1775	20634
P6	5893	5516	5645	33308	5541	32466
P7	18899	7772	16100	45963	16305	43085
P8	52197	8460	44919	56220	42399	62521
P9	131333	9754	107504	25090	132878	193257
P10	69	232	59	562	61	547
P11	169	530	179	2366	175	2364
P12	544	628	543	6609	538	6120
P13	1766	1803	1615	14586	1656	14502
P14	5472	4183	5314	28207	5082	28190
P15	18101	7248	14926	38472	17129	45028
P16	51684	10141	39246	77167	38768	52666
P17	138611	13972				
P18	59	191	49	397	49	434
P19	186	469	199	2461	197	2524
P20	603	521	598	6427	594	6004
P21	1758	1237	1695	13439	1702	12908
P22	5512	3137	4970	25002	5004	24676
P23	17863	5738	15005	41945	16405	41766
P24	53052	6462	41494	69523	40185	61772
P25	135692	8934				
P26	59	190	45	317	44	314
P27	183	264	199	1995	205	1914
P28	653	455	640	6226	640	5641
P29	1880	888	1826	12442	1822	11810
P30	5569	2055	5117	22747	5312	21851
P31	17308	4066	16058	39503	16043	39372
P32	50763	6405	40690	42513	41312	53858
P33	134360	8128				
P34	57	184	41	282	42	327
P35	171	249	192	1153	191	1328
P36	639	316	677	4058	662	4439
P37	1960	598	2009	9776	2015	9249
P38	6077	1350	5749	19671	5690	18774
P39	17506	2797	16971	32895	16229	33125
P40	50584	4499	45163	41214	39039	47332
P41	128402	8138			107614	32551
P42	51	165	34	269	33	311
P43	172	211	203	785	201	1212
P44	628	241	627	1854	636	2679
P45	2024	384	2027	5982	2090	5841
P46	6534	775	6272	13740	6109	12747
P47	18798	1580	16774	24258	16280	23843
P48	50040	2727	49117	34395	44528	43450
P49	132483	5907	105391	71483	116636	30816
P50	38	165	18	196	26	338
P51	186	197	132	267	146	374
P52	557	166	579	826	504	1679
P53	1957	247	1798	1170	2222	2596
P54	6607	467	6060	5965	5634	7102
P55	18980	902	17438	19059	19828	21835
P56	53283	1788	53152	21293	46949	30517
P57	129912	3181	130569	654		
P58	13	168	6	204	4	115
P59	198	190				
P60	615	216	434	78	426	464
P61	1610	170				
P62	6919	764			10040	30418
P63	18801	551	27681	7391	10040	30418
P64	57891	1320	47457	5932	49096	42161
P65	135234	3806				
P66	9984	1249	2367	8275	2199	8056
P67	13846	2519	3179	14304	2975	13602
