Population Cytoplasm0ulIFN1 Surface0ulIFN1 Cytoplasm1ulIFN1 Surface1ulIFN1 ASLCytoplasm0ulIFN ASLCytoplasm1ulIFN
AllEvents 5100 879 697 2878 2849 679
P1 6011 833 846 3152 3371 833
P2 60 216 46 348 48 48
P3 162 283 162 2477 57 61
P4 572 486 569 9188 53 52
P5 1842 1156 1826 18858 51 50
P6 5821 2140 5721 30596 51 44
P7 18653 3522 17624 37367 50 46
P8 55449 4693 45082 55386 51 45
P9 133471 5778 141561 64243 53 71
P10 69 249 58 431 155 160
P11 166 534 174 2180 159 172
P12 535 1000 549 5412 171 203
P13 1733 1413 1706 12960 161 198
P14 5828 3240 5871 28383 154 195
P15 18753 4334 17411 44355 148 175
P16 53820 6773 34705 27953 141 170
P17 135595 7580 0 0 134 0
P18 61 516 48 378 604 571
P19 181 613 194 2119 571 547
P20 564 406 599 4971 628 579
P21 1675 869 1699 11044 676 607
P22 5148 1946 5229 22451 632 668
P23 16909 3243 17601 31529 641 634
P24 54346 6426 51261 33256 567 574
P25 130010 10933 0 0 669 0
P26 59 204 45 326 1830 1827
P27 183 245 197 1654 1777 1654
P28 607 713 638 4944 1760 1687
P29 1783 701 1763 11236 1892 1736
P30 5246 1697 5605 20871 1991 1903
P31 17351 2546 14378 36398 2078 2087
P32 53149 4889 45957 48479 1996 1875
P33 139512 8059 117952 86428 2222 3048
P34 60 188 41 257 5753 5579
P35 174 222 193 972 5530 5603
P36 637 329 670 3799 5552 5067
P37 1923 537 1984 9185 5486 5063
P38 5723 912 5619 17603 5936 5638
P39 16962 1886 17043 31362 6558 6235
P40 50621 3612 37244 43447 6581 7413
P41 128904 4401 117952 86428 6625 3048
P42 53 187 39 272 17400 15233
P43 175 231 160 743 17649 12921
P44 657 255 613 2158 17908 18371
P45 1960 268 2128 6634 16635 16514
P46 6485 472 6291 13024 18070 16962
P47 18161 931 17594 25720 18614 17147
P48 48753 2057 43140 46274 18653 18603
P49 131575 2777 0 0 19701 0
P50 40 169 32 257 56371 44483
P51 178 189 167 397 57074 35640
P52 602 209 726 1519 54029 37531
P53 2017 213 1775 3551 53926 36962
P54 6241 289 7185 9459 50184 45630
P55 18950 553 19473 22755 51326 45607
P56 52660 907 44735 32193 54783 42956
P57 135524 1213 0 0 56875 0
P58 9 206 -20 428 145889 149585
P59 211 153 109 199 138219 145125
P60 600 171 0 0 141728 0
P61 1717 155 0 0 137068 0
P62 5826 223 4484 879 133913 198317
P63 18521 279 15306 5628 138412 126769
P64 59698 535 0 0 131386 0
P65 137030 432 0 0 146241 0
P66 6342 626 2767 7891 15486 3998
P67 15643 1804 4070 13673 5399 2747
