Population Cyt0ulIFN Surf0ulIFN Cyt1ulIFN Surf1ulIFN Cyt2ulIFN Surf2ulIFN ASNCytoplasm0ulIFN ASNCytoplasm1ulIFN ASNCytoplasm2ulIFN
NaN 4636 1060 NaN 2959 498 2852 3953 465 433
1 5484 1121 623 3130 577 2976 4686 527 504
2 55 197 45 385 45 400 54 50 51
3 152 308 167 2982 163 2756 70 63 66
4 577 1059 566 10256 558 9468 64 56 57
5 1810 2890 1731 20532 1775 20634 61 54 53
6 5893 5516 5645 33308 5541 32466 60 49 52
7 18899 7772 16100 45963 16305 43085 60 54 52
8 52197 8460 44919 56220 42399 62521 60 57 52
9 131333 9754 107504 25090 132878 193257 65 53 102
10 69 232 59 562 61 547 152 157 155
11 169 530 179 2366 175 2364 159 175 172
12 544 628 543 6609 538 6120 186 199 199
13 1766 1803 1615 14586 1656 14502 186 201 204
14 5472 4183 5314 28207 5082 28190 176 193 201
15 18101 7248 14926 38472 17129 45028 168 180 178
16 51684 10141 39246 77167 38768 52666 167 123 175
17 138611 13972 NaN NaN NaN NaN 162 NaN NaN
18 59 191 49 397 49 434 604 574 562
19 186 469 199 2461 197 2524 563 533 530
20 603 521 598 6427 594 6004 599 571 573
21 1758 1237 1695 13439 1702 12908 645 627 610
22 5512 3137 4970 25002 5004 24676 673 661 659
23 17863 5738 15005 41945 16405 41766 645 652 669
24 53052 6462 41494 69523 40185 61772 566 672 729
25 135692 8934 NaN NaN NaN NaN 608 NaN NaN
26 59 190 45 317 44 314 1807 1724 1741
27 183 264 199 1995 205 1914 1824 1658 1634
28 653 455 640 6226 640 5641 1750 1641 1673
29 1880 888 1826 12442 1822 11810 1839 1769 1813
30 5569 2055 5117 22747 5312 21851 1961 1937 1951
31 17308 4066 16058 39503 16043 39372 2003 1925 2017
32 50763 6405 40690 42513 41312 53858 2067 1978 1834
33 134360 8128 NaN NaN NaN NaN 1964 NaN NaN
34 57 184 41 282 42 327 5698 5562 5559
35 171 249 192 1153 191 1328 5488 4853 5392
36 639 316 677 4058 662 4439 5484 5009 5027
37 1960 598 2009 9776 2015 9249 5492 5215 5138
38 6077 1350 5749 19671 5690 18774 5819 5589 5392
39 17506 2797 16971 32895 16229 33125 6279 5917 6118
40 50584 4499 45163 41214 39039 47332 6410 6471 5928
41 128402 8138 NaN NaN 107614 32551 5983 NaN 3899
42 51 165 34 269 33 311 18070 16454 16427
43 172 211 203 785 201 1212 17669 18128 16939
44 628 241 627 1854 636 2679 17081 15834 14992
45 2024 384 2027 5982 2090 5841 16457 14504 14976
46 6534 775 6272 13740 6109 12747 16919 15954 15994
47 18798 1580 16774 24258 16280 23843 17836 17020 16448
48 50040 2727 49117 34395 44528 43450 18680 19625 19158
49 132483 5907 105391 71483 116636 30816 18525 20391 13453
50 38 165 18 196 26 338 54278 49591 54170
51 186 197 132 267 146 374 55423 45675 31116
52 557 166 579 826 504 1679 57362 56323 42713
53 1957 247 1798 1170 2222 2596 47996 44208 72922
54 6607 467 6060 5965 5634 7102 48773 48166 47374
55 18980 902 17438 19059 19828 21835 48126 39784 45763
56 53283 1788 53152 21293 46949 30517 51179 53523 49100
57 129912 3181 130569 654 NaN NaN 53987 51673 NaN
58 13 168 6 204 4 115 138955 158376 109984
59 198 190 NaN NaN NaN NaN 126165 NaN NaN
60 615 216 434 78 426 464 132353 202636 134017
61 1610 170 NaN NaN NaN NaN 135059 NaN NaN
62 6919 764 NaN NaN 10040 30418 137443 NaN 124873
63 18801 551 27681 7391 10040 30418 130805 111659 124873
64 57891 1320 47457 5932 49096 42161 127849 115448 144427
65 135234 3806 NaN NaN NaN NaN 133716 NaN NaN
66 9984 1249 2367 8275 2199 8056 11959 2891 2840
67 13846 2519 3179 14304 2975 13602 7760 1858 1800
