population,SSLCyt0ulIFN,SSLSurf0ulIFN,SSLCyt1ulIFN,SSLSurf1ulIFN,SSLCyt2ulIFN,SSLSurf2ulIFN,ASNCyt0ulIFN,ASNCyt1ulIFN,ASNCyt2ulIFN
All Events,2682,565,475,1144,441,1177,5668,1616,1726
P1,3030,359,542,726,500,717,6374,1913,2056
P2,72,169,75,185,74,196,83,80,81
P3,136,216,131,287,131,313,91,90,90
P4,535,269,525,2133,511,2006,87,86,86
P5,1739,489,1701,5656,1760,5457,86,79,85
P6,5529,1014,5968,12083,6505,12330,87,84,83
P7,18867,1606,17366,15682,18006,19629,82,91,85
P8,53080,1956,49139,44284,49749,28652,80,78,84
P9,143300,3289,173616,17770,NaN,NaN,84,84,NaN
P10,81,203,82,199,83,210,131,135,136
P11,164,315,164,366,163,377,159,159,160
P12,491,514,469,1840,444,2095,185,196,197
P13,1718,578,1668,5671,1644,5476,175,174,178
P14,5341,1010,5890,12554,5499,12830,171,163,160
P15,16908,2203,15926,22304,17643,17252,169,169,160
P16,57423,2779,54152,37119,46705,37690,164,171,146
P17,141277,3194,116012,68210,NaN,NaN,165,186,NaN
P18,78,176,79,186,79,190,589,592,587
P19,178,341,168,370,166,525,577,571,581
P20,543,1456,546,2722,530,3420,565,581,596
P21,1739,772,1698,3278,1563,3107,629,687,649
P22,5317,888,4542,6844,5256,8227,665,670,682
P23,15748,1142,13091,16622,16182,12192,655,651,675
P24,55311,2532,58975,31685,63006,23042,559,409,556
P25,168979,4699,NaN,NaN,105113,13149,527,NaN,400
P26,77,171,77,193,78,180,1890,1826,1833
P27,175,270,167,311,169,416,1837,1812,1796
P28,582,337,586,1523,552,1366,1838,1822,1818
P29,1794,468,1790,4261,1758,3376,1903,1920,1968
P30,5333,592,4855,6576,5183,8494,1998,2061,1970
P31,16332,1133,16120,15961,15048,16816,2021,2035,1911
P32,54669,2335,39970,28975,34952,24082,1980,2018,2054
P33,128796,2521,193525,61342,NaN,NaN,1696,1666,NaN
P34,79,165,79,234,78,208,5718,5837,5678
P35,173,275,169,283,172,421,5587,5588,5598
P36,594,503,603,1050,581,1240,5721,5677,5680
P37,1837,337,1780,2640,1796,3575,5714,5742,5743
P38,5653,609,5071,6021,5200,6039,5924,5974,5826
P39,16985,727,16407,12765,16694,14395,6281,6718,6448
P40,54257,1244,48326,17104,48961,23448,7015,6807,6480
P41,144588,3595,NaN,NaN,NaN,NaN,6207,NaN,NaN
P42,80,163,80,246,80,190,17563,16893,17478
P43,168,297,165,352,164,271,17252,16928,17009
P44,595,323,607,715,596,703,17114,17248,16339
P45,1868,275,1880,1968,1832,2076,17824,17745,17257
P46,6038,340,5540,4259,5974,4890,18085,18540,17920
P47,18393,512,17765,10362,15460,9954,18603,18767,20195
P48,54171,753,48230,20920,53025,24469,18968,18065,16840
P49,139026,1705,127378,51606,106517,20095,19903,15868,13855
P50,73,148,69,195,79,193,57171,52254,50537
P51,168,252,159,252,166,277,54306,50719,52646
P52,596,386,623,979,650,531,54894,52068,48893
P53,1901,222,1786,2320,1894,1023,55486,52562,50936
P54,6272,274,6191,3479,5809,2660,54473,52343,50405
P55,18155,537,17051,6732,17688,6362,57125,51815,53345
P56,57283,581,46198,14202,40131,13325,57720,53415,57392
P57,145153,1016,124709,31572,108778,61356,60494,62382,55502
P58,70,142,74,148,66,130,140414,135395,133913
P59,163,207,144,223,154,357,143727,136368,137159
P60,560,220,564,230,500,205,140654,117097,149090
P61,1889,214,1886,670,1849,571,135640,136364,123833
P62,6478,249,5261,1522,6152,1942,141509,131070,129894
P63,18194,247,17595,3248,19149,4807,141886,129041,138360
P64,59207,401,55291,7160,58669,11749,143888,119896,119539
P65,137360,518,103295,17754,NaN,NaN,145119,103978,NaN
P66,7621,477,1459,1469,1385,1488,17309,7365,7924
P67,10944,667,3344,3694,3236,3688,18639,7572,9263
