population,SSLCyt0ulIFN,ASNSurf0ulIFN,SSLCyt1ulIFN,ASNSurf1ulIFN,SSLCyt2ulIFN,ASNSurf2ulIFN,ASNCyt0ulIFN,ASNCyt1ulIFN,ASNCyt2ulIFN
All Events,2916,174,515,256,522,283,5950,1769,1760
P1,3209,157,600,226,623,250,6632,2127,2155
P2,73,87,74,103,74,109,80,80,80
P3,137,121,133,171,133,238,89,90,89
P4,528,105,534,157,518,132,88,87,84
P5,1663,108,1785,124,1728,97,86,85,78
P6,5746,95,5828,93,5699,90,82,83,82
P7,18074,105,19491,111,16694,140,86,92,86
P8,53636,105,54602,105,48836,138,84,75,71
P9,132364,160,155429,8,NaN,NaN,84,104,NaN
P10,82,103,83,122,82,128,131,134,136
P11,167,174,165,195,164,205,158,158,159
P12,484,216,463,292,448,323,185,195,197
P13,1681,162,1823,179,1606,187,172,175,185
P14,5439,162,5451,169,5775,210,172,169,173
P15,17914,149,15687,141,15983,206,164,153,154
P16,60345,185,53294,534,69214,214,164,148,173
P17,137186,224,155429,8,129121,337,172,104,150
P18,79,97,78,158,79,159,599,606,580
P19,175,171,170,202,167,210,576,578,572
P20,548,220,553,251,529,215,574,598,618
P21,1706,184,1727,184,1708,185,622,669,653
P22,5033,156,5189,131,5188,206,656,635,662
P23,18325,187,15026,480,18871,176,628,629,653
P24,61146,211,30825,124,NaN,NaN,589,612,NaN
P25,153999,300,NaN,NaN,NaN,NaN,640,NaN,NaN
P26,77,102,76,267,76,287,1863,1828,1852
P27,174,168,169,295,169,300,1833,1794,1803
P28,583,173,585,263,562,283,1846,1853,1785
P29,1777,153,1766,196,1770,210,1928,1800,1846
P30,5350,139,5590,191,5091,2611,1990,1907,1963
P31,16775,177,15250,209,15465,189,2144,2152,2002
P32,60039,147,45839,170,60256,477,2017,2090,1980
P33,143638,160,142545,68,149497,247,1958,1682,1134
P34,79,118,80,523,80,538,5765,5807,5598
P35,172,182,167,521,168,535,5668,5552,5568
P36,612,202,572,470,568,497,5771,5563,5681
P37,1878,176,1863,361,1785,368,5705,5549,5935
P38,5631,153,5419,315,5633,302,5988,6144,6106
P39,16666,154,16052,301,16298,221,6427,6126,6408
P40,54628,151,48328,197,44567,318,6531,6209,6269
P41,154010,195,120245,97,111990,461,6833,7263,6247
P42,79,145,78,848,80,871,17400,17588,17831
P43,169,215,159,853,159,812,17186,17506,16692
P44,615,202,577,814,599,824,17179,16113,16954
P45,1899,199,1807,673,1788,706,17490,16645,16994
P46,5937,167,5870,531,5704,588,17564,17631,18038
P47,18471,169,17950,380,15926,487,18852,17289,18353
P48,55632,172,48202,409,53267,363,19095,18922,20121
P49,138818,150,NaN,NaN,147439,154,21873,NaN,18705
P50,77,148,79,946,74,978,57296,46889,48563
P51,167,221,162,1022,161,1017,54656,50477,49279
P52,599,225,652,1033,644,1147,55880,49828,47619
P53,1892,207,1868,1036,1915,889,54451,50622,50938
P54,6196,191,5804,868,6076,873,55726,52265,51734
P55,18326,172,17833,755,18840,743,53929,60389,50475
P56,55692,181,47894,571,53573,583,57539,59336,55169
P57,140242,188,NaN,NaN,135911,831,62196,NaN,65380
P58,77,139,71,841,70,1100,140875,141746,138920
P59,170,199,138,943,129,847,143964,133376,140234
P60,544,311,682,1163,652,1474,138306,121672,133656
P61,1689,168,2063,1261,1938,977,136120,135627,136751
P62,6039,202,5531,1125,4976,883,139321,139485,136071
P63,19619,160,18655,800,17981,1517,141613,123799,130889
P64,57606,163,64861,1051,53249,790,139233,131122,122234
P65,137971,166,NaN,NaN,NaN,NaN,137721,NaN,NaN
P66,8213,176,1634,383,1762,424,17716,7988,8021
P67,11380,184,3579,355,3987,453,19365,8302,9137
