Time,Me_P1,Me_P2,Me_P0
-345600,0,0,0
-345176.213452864,0,0,360.41902161867
-344775.119297755,0,0,1407.33887972041
-344278.532136789,0,0,3667.84129072829
-343862.623082309,0,0,6359.20354687644
-343309.048130797,0,0,11013.8517240194
-342841.586696667,3.87568764960055E-15,0,15847.5538867304
-342275.958361369,4.09388854346552E-14,0,22736.1300146008
-341591.548075659,1.19916062251925E-13,0,32494.6410234974
-341197.197387225,1.78758333675779E-13,0,38780.5197932414
-340763.411629949,2.53497942326297E-13,0,46222.2195775655
-340286.247296945,3.42817313640071E-13,0,55013.6875105124
-339761.36653064,4.43179382160745E-13,0,65376.1417515734
-339183.997687705,5.61666725605876E-13,0,77560.4788597115
-338548.891960477,6.96072704247367E-13,0,91849.5248662964
-337850.275660526,8.39111101931925E-13,0,108560.010080311
-337081.797730579,9.83867953661999E-13,0,128044.124135889
-336236.472007638,1.11164169042975E-12,0,150690.487355299
-335306.613712403,1.22962677070816E-12,0,176924.540732732
-334283.769587645,1.3584169809434E-12,0,207208.181464346
-333158.64105041,1.52296253577289E-12,0,242038.813716268
-331920.999659452,1.68780931352925E-12,0,281946.924161525
-330559.594129398,1.78311489186237E-12,0,327492.906933882
-329062.048046339,1.71952015862062E-12,0,379263.651485711
-327414.747354974,1.31229054929305E-12,0,437869.163984846
-325602.716594473,5.05077458728175E-13,0,503939.299509018
-323609.482757921,-6.83919794520793E-13,0,578119.020351138
-321416.925537714,-2.17669538631282E-12,0,661067.987562997
-319005.112595486,-3.88500480276356E-12,0,753462.504992581
-316352.118359036,-5.8139503880127E-12,0,856001.834766939
-313433.824698941,-8.13937640244169E-12,0,969404.23551163
-310223.701672836,-1.11306766588154E-11,0,1094406.31872767
-306692.56634412,-1.50081473237304E-11,0,1231771.78723178
-302808.317482534,-1.98266828361823E-11,0,1382305.64636437
-298535.643734788,-2.5487397489891E-11,0,1546865.25737928
-293835.702612268,-3.18247839411346E-11,0,1726344.10908613
-288665.767377495,-3.87963059189896E-11,0,1921675.29551412
-282978.838619246,-3.70983980289884E-11,0,2133836.19890941
-276723.216985172,-2.30294891865115E-11,0,2363828.48145714
-269842.03318769,1.84495611563886E-12,0,2612664.89692353
-262272.73101046,3.22713976251976E-11,0,2881306.32624921
-253946.498615507,6.34022841696021E-11,0,3170649.15270875
-244787.642981059,9.32549680152109E-11,0,3481514.72608272
-234712.901783166,1.26523003617933E-10,0,3814610.9584375
-223630.686465483,1.63735423913979E-10,0,4170475.93190987
-211440.249616033,2.04570553442745E-10,0,4549422.33688665
-198030.769081637,2.49215503699097E-10,0,4951502.42028659
-183280.340493802,2.97521221801558E-10,0,5376455.1444854
-167054.869047183,3.49178897024603E-10,0,5823659.13407091
-149206.850455902,4.02829074914602E-10,0,6292102.56479467
-129574.030005493,4.57685052866404E-10,0,6780350.51396159
-107977.927510044,5.19843621207052E-10,0,7286516.56284102
-84222.2147650493,5.91909066147438E-10,0,7808250.68575748
-58090.9307455552,6.6343669497127E-10,0,8342727.93051182
-29346.5183241117,7.21157184232335E-10,0,8886657.28072019
-4.32000001637789E-06,7.50111911743513E-10,0,9396814.05643458
0,7.50111911743513E-10,0,9396814.05643458
425.584399426951,714.054907552255,25251.0467907738,9403884.87118748
829.34359948638,2065.4585075677,65451.9142223342,9410500.30117458
1335.66616222985,4023.05005459353,118302.007914179,9418719.58051865
1777.77166291524,5796.59956856866,164170.463458948,9425838.97346787
2366.2140843275,8169.49776546418,224249.140575641,9435237.73610319
2863.11904266267,10164.804737133,274061.64768321,9443108.8997921
3464.37404224822,12561.4927896103,333215.820432499,9452556.36258461
4191.89259174674,15432.9472036521,403186.948705959,9463880.89744726
4611.0818512197,17072.9832543258,442722.002651506,9470355.24771402
5072.19003663995,18864.8161009375,485563.355492682,9477435.97646679
5579.40904060223,20821.1412515515,531918.914669017,9485176.88466845
6137.34994496074,22955.4546979409,581995.671709788,9493636.20800727
6751.08493975509,25282.0392714133,635996.253782608,9502876.98058154
7426.19343402888,27815.9363218501,694114.76548947,9512967.44008788
8168.81277773005,30572.8986274306,756531.858881893,9523981.48104607
8985.69405580134,33569.3199825556,823408.984700217,9535999.16267259
9884.26346167976,36822.1364907173,894881.801137973,9549107.27758563
10872.689808146,40348.6941982995,971052.750027901,9563399.98626771
11959.9587892589,44166.5773615906,1051982.85640449,9578979.51979875
13155.9546684831,48293.3913922556,1137682.8676629,9595956.94989048
14471.5501356297,52746.4944489618,1228103.92443515,9614453.02013225
15918.7051494909,57542.6718258669,1323128.04711267,9634599.02591224
17510.5756647383,62697.7478480147,1422558.82859973,9656537.72234543
19261.6332315104,68226.1310465576,1526112.84188685,9680424.23045519
21187.7965549597,74140.2901002671,1633412.39406501,9706426.90209677
23306.576210754,80450.1605531345,1743980.37627687,9734728.09455067
25637.2338321277,87162.4858089141,1857238.05727299,9765524.79735782
28200.9572156387,94280.1005125221,1972506.72757091,9799029.04802462
31021.0529375009,101801.170261405,2089014.09842109,9835468.07052503
34123.1582315493,109718.408690288,2205906.26885467,9875084.07164623
37535.4740550025,118018.301261595,2322265.86927145,9918133.63497444
41289.021460801,126680.374328446,2437136.65021846,9964886.65972
45417.9236071794,135676.557743191,2549554.30004149,10015624.7995389
49959.7159681956,144970.698698189,2658582.65301871,10070639.362698
54955.6875653135,154518.292501777,2763353.72448459,10130228.636624
60451.2563221431,164266.501149522,2863109.24691675,10194694.5955385
66496.3819546557,174154.531047711,2957240.68025265,10264338.9394753
73146.0201504195,184114.435072396,3045324.15782696,10339458.3980083
80460.6221657598,194072.389270828,3127146.64596467,10420339.2169193
86399.99999568,201364.111330213,3182932.68213054,10484494.8670301
86400,201364.111330213,3182932.68213054,10484494.8670301
