Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9	Me-P10	Me-P11	Me-P12	Me-P13	Me-P14	Me-P15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.3999745836719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.8000130409076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97.200011940184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129.600005975891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161.999992824612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194.400049139082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226.800057876455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259.200073762047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291.600106456427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324.000122353441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356.400162870923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388.800192857777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421.200189848828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453.600202974644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486.000212104413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518.40022069579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
550.800218691065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
583.200251976164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615.600252564108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
648.000258329923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
680.400262446019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
712.800264403161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
745.200250545048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
777.600281880112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
810.000309890484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
842.400322531457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
874.800341390269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907.200369227199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
939.600382599565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
972.00038860571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004.40038770347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036.8003746646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069.20041286186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101.60045074748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1134.00046070836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1166.40048718958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1198.80046831244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1231.20050565307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1263.60050441756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1296.00052239635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1328.40051650737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1360.80053610164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393.20055068853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1425.60056087879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1458.00055796556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490.40057009811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1522.80050101465	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1555.20057963945	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1587.60059255069	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1620.00061253937	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1652.40061817376	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1684.80061914176	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1717.20061105282	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1749.60063807151	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1782.00064451089	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1814.40065246907	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1846.80067133057	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1879.20067045858	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1911.60068414002	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1944.00068692595	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1976.40068688315	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2008.80074577004	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2041.20075078742	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2073.60076254146	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2106.00075184501	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2138.40074665748	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2170.8007571624	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2203.20077731142	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2235.6008141469	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2268.00083617272	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2300.40083484809	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2332.80087260976	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2365.2009036114	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2397.60090998355	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2430.00090532642	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2462.4008923049	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
2494.80094373635	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2527.20095575171	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2559.60095453372	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2592.00095191055	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2624.40095611513	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2656.80097140854	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2689.20097670913	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2721.60099321526	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2754.00099092834	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2786.40100414962	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2818.80100489878	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2851.20104019287	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2883.60105882666	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
2916.00107818885	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
2948.40107352014	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
2980.80105286323	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3013.20109680777	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3045.60111610662	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3078.00112034278	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3110.40111880136	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3142.80112770465	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3175.20113038743	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3207.60113105739	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3240.00114274831	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3272.40116179794	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3304.80116621542	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
3337.20117340314	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
